Syscall,Kernelfunc
getsockopt$inet_sctp6_SCTP_I_WANT_MAPPED_V4_ADDR,sctp_getsockopt_mappedv4
getsockopt$inet_sctp6_SCTP_LOCAL_AUTH_CHUNKS,sctp_getsockopt_local_auth_chunks
getsockopt$inet_sctp6_SCTP_MAXSEG,sctp_getsockopt_maxseg
getsockopt$inet_sctp6_SCTP_MAX_BURST,sctp_getsockopt_maxburst
getsockopt$inet_sctp6_SCTP_NODELAY,sctp_getsockopt_nodelay
getsockopt$inet_sctp6_SCTP_PARTIAL_DELIVERY_POINT,sctp_getsockopt_partial_delivery_point
getsockopt$inet_sctp6_SCTP_PEER_ADDR_PARAMS,sctp_getsockopt_peer_addr_params
getsockopt$inet_sctp6_SCTP_PEER_ADDR_THLDS,sctp_getsockopt_paddr_thresholds
getsockopt$inet_sctp6_SCTP_PEER_AUTH_CHUNKS,sctp_getsockopt_peer_auth_chunks
getsockopt$inet_sctp6_SCTP_PRIMARY_ADDR,sctp_getsockopt_primary_addr
getsockopt$inet_sctp6_SCTP_PR_ASSOC_STATUS,sctp_getsockopt_pr_assocstatus
getsockopt$inet_sctp6_SCTP_PR_STREAM_STATUS,sctp_getsockopt_pr_streamstatus
getsockopt$inet_sctp6_SCTP_PR_SUPPORTED,"sctp_setsockopt_pr_supported,sctp_getsockopt_pr_supported"
getsockopt$inet_sctp6_SCTP_RECONFIG_SUPPORTED,sctp_getsockopt_reconfig_supported
getsockopt$inet_sctp6_SCTP_RECVNXTINFO,sctp_getsockopt_recvnxtinfo
getsockopt$inet_sctp6_SCTP_RECVRCVINFO,sctp_getsockopt_recvrcvinfo
getsockopt$inet_sctp6_SCTP_RESET_STREAMS,None
getsockopt$inet_sctp6_SCTP_RTOINFO,sctp_getsockopt_rtoinfo
getsockopt$inet_sctp6_SCTP_SOCKOPT_CONNECTX3,sctp_getsockopt_connectx3
getsockopt$inet_sctp6_SCTP_SOCKOPT_PEELOFF,sctp_getsockopt_peeloff
getsockopt$inet_sctp6_SCTP_STATUS,sctp_getsockopt_sctp_status
getsockopt$inet_sctp6_SCTP_STREAM_SCHEDULER,sctp_getsockopt_scheduler
getsockopt$inet_sctp6_SCTP_STREAM_SCHEDULER_VALUE,sctp_getsockopt_scheduler_value
getsockopt$inet_sctp_SCTP_ADAPTATION_LAYER,sctp_getsockopt_adaptation_layer
getsockopt$inet_sctp_SCTP_ASSOCINFO,sctp_getsockopt_associnfo
getsockopt$inet_sctp_SCTP_AUTH_ACTIVE_KEY,sctp_getsockopt_active_key
getsockopt$inet_sctp_SCTP_AUTOCLOSE,sctp_getsockopt_autoclose
getsockopt$inet_sctp_SCTP_AUTO_ASCONF,sctp_getsockopt_auto_asconf
getsockopt$inet_sctp_SCTP_CONTEXT,sctp_getsockopt_context
getsockopt$inet_sctp_SCTP_DEFAULT_PRINFO,sctp_getsockopt_default_prinfo
getsockopt$inet_sctp_SCTP_DEFAULT_SEND_PARAM,sctp_getsockopt_default_send_param
getsockopt$inet_sctp_SCTP_DEFAULT_SNDINFO,sctp_getsockopt_default_sndinfo
getsockopt$inet_sctp_SCTP_DELAYED_SACK,sctp_getsockopt_delayed_ack
getsockopt$inet_sctp_SCTP_DISABLE_FRAGMENTS,sctp_getsockopt_disable_fragments
getsockopt$inet_sctp_SCTP_ENABLE_STREAM_RESET,sctp_getsockopt_enable_strreset
getsockopt$inet_sctp_SCTP_EVENTS,sctp_getsockopt_events
getsockopt$inet_sctp_SCTP_FRAGMENT_INTERLEAVE,sctp_getsockopt_fragment_interleave
getsockopt$inet_sctp_SCTP_GET_ASSOC_ID_LIST,sctp_getsockopt_assoc_ids
getsockopt$inet_sctp_SCTP_GET_ASSOC_NUMBER,sctp_getsockopt_assoc_number
getsockopt$inet_sctp_SCTP_GET_ASSOC_STATS,sctp_getsockopt_assoc_stats
getsockopt$inet_sctp_SCTP_GET_LOCAL_ADDRS,sctp_getsockopt_local_addrs
getsockopt$inet_sctp_SCTP_GET_PEER_ADDRS,sctp_getsockopt_peer_addrs
getsockopt$inet_sctp_SCTP_GET_PEER_ADDR_INFO,sctp_getsockopt_peer_addr_info
getsockopt$inet_sctp_SCTP_HMAC_IDENT,sctp_getsockopt_hmac_ident
getsockopt$inet_sctp_SCTP_INITMSG,sctp_getsockopt_initmsg
getsockopt$inet_sctp_SCTP_I_WANT_MAPPED_V4_ADDR,sctp_getsockopt_mappedv4
getsockopt$inet_sctp_SCTP_LOCAL_AUTH_CHUNKS,sctp_getsockopt_local_auth_chunks
getsockopt$inet_sctp_SCTP_MAXSEG,sctp_getsockopt_maxseg
getsockopt$inet_sctp_SCTP_MAX_BURST,sctp_getsockopt_maxburst
getsockopt$inet_sctp_SCTP_NODELAY,sctp_getsockopt_nodelay
getsockopt$inet_sctp_SCTP_PARTIAL_DELIVERY_POINT,sctp_getsockopt_partial_delivery_point
getsockopt$inet_sctp_SCTP_PEER_ADDR_PARAMS,sctp_getsockopt_peer_addr_params
getsockopt$inet_sctp_SCTP_PEER_ADDR_THLDS,sctp_getsockopt_paddr_thresholds
getsockopt$inet_sctp_SCTP_PEER_AUTH_CHUNKS,sctp_getsockopt_peer_auth_chunks
getsockopt$inet_sctp_SCTP_PRIMARY_ADDR,sctp_getsockopt_primary_addr
getsockopt$inet_sctp_SCTP_PR_ASSOC_STATUS,sctp_getsockopt_pr_assocstatus
getsockopt$inet_sctp_SCTP_PR_STREAM_STATUS,sctp_getsockopt_pr_streamstatus
getsockopt$inet_sctp_SCTP_PR_SUPPORTED,"sctp_setsockopt_pr_supported,sctp_getsockopt_pr_supported"
getsockopt$inet_sctp_SCTP_RECONFIG_SUPPORTED,sctp_getsockopt_reconfig_supported
getsockopt$inet_sctp_SCTP_RECVNXTINFO,sctp_getsockopt_recvnxtinfo
getsockopt$inet_sctp_SCTP_RECVRCVINFO,sctp_getsockopt_recvrcvinfo
getsockopt$inet_sctp_SCTP_RESET_STREAMS,None
getsockopt$inet_sctp_SCTP_RTOINFO,sctp_getsockopt_rtoinfo
getsockopt$inet_sctp_SCTP_SOCKOPT_CONNECTX3,sctp_getsockopt_connectx3
getsockopt$inet_sctp_SCTP_SOCKOPT_PEELOFF,sctp_getsockopt_peeloff
getsockopt$inet_sctp_SCTP_STATUS,sctp_getsockopt_sctp_status
getsockopt$inet_sctp_SCTP_STREAM_SCHEDULER,sctp_getsockopt_scheduler
getsockopt$inet_sctp_SCTP_STREAM_SCHEDULER_VALUE,sctp_getsockopt_scheduler_value
getsockopt$inet_tcp_TCP_REPAIR_WINDOW,tcp_repair_set_window
getsockopt$inet_tcp_TCP_ZEROCOPY_RECEIVE,tcp_zerocopy_receive
getsockopt$inet_tcp_buf,do_tcp_getsockopt
getsockopt$inet_tcp_int,do_tcp_getsockopt
getsockopt$inet_udp_int,udp_lib_getsockopt
getsockopt$netrom_NETROM_IDLE,nr_getsockopt
getsockopt$netrom_NETROM_N2,nr_getsockopt
getsockopt$netrom_NETROM_T1,nr_getsockopt
getsockopt$netrom_NETROM_T2,nr_getsockopt
getsockopt$netrom_NETROM_T4,nr_getsockopt
getsockopt$nfc_llcp,nfc_llcp_getsockopt
getsockopt$packet_buf,packet_getsockopt
getsockopt$packet_int,packet_getsockopt
getsockopt$sock_buf,sock_getsockopt
getsockopt$sock_cred,cred_to_ucred
getsockopt$sock_int,sock_getsockopt
getsockopt$sock_linger,sock_getsockopt
getsockopt$sock_timeval,sock_get_timeout
io_uring_register$IORING_REGISTER_BUFFERS,io_sqe_buffers_register
io_uring_register$IORING_REGISTER_EVENTFD,io_eventfd_register
io_uring_register$IORING_REGISTER_EVENTFD_ASYNC,io_eventfd_register
io_uring_register$IORING_REGISTER_FILES,io_sqe_files_register
io_uring_register$IORING_REGISTER_FILES_UPDATE,io_register_files_update
io_uring_register$IORING_REGISTER_PERSONALITY,io_register_personality
io_uring_register$IORING_REGISTER_PROBE,io_probe
io_uring_register$IORING_UNREGISTER_BUFFERS,io_sqe_buffers_unregister
io_uring_register$IORING_UNREGISTER_EVENTFD,io_eventfd_unregister
io_uring_register$IORING_UNREGISTER_FILES,io_sqe_files_unregister
io_uring_register$IORING_UNREGISTER_PERSONALITY,io_unregister_personality
ioctl$ASHMEM_GET_NAME,get_name
ioctl$ASHMEM_GET_PIN_STATUS,ashmem_pin_unpin
ioctl$ASHMEM_GET_PROT_MASK,ashmem_ioctl
ioctl$ASHMEM_GET_SIZE,ashmem_ioctl
ioctl$ASHMEM_PURGE_ALL_CACHES,ashmem_shrink_count
ioctl$ASHMEM_SET_NAME,set_name
ioctl$ASHMEM_SET_PROT_MASK,set_prot_mask
ioctl$ASHMEM_SET_SIZE,ashmem_ioctl
ioctl$AUTOFS_DEV_IOCTL_ASKUMOUNT,autofs_dev_ioctl_askumount
ioctl$AUTOFS_DEV_IOCTL_CATATONIC,autofs_dev_ioctl_catatonic
ioctl$AUTOFS_DEV_IOCTL_CLOSEMOUNT,autofs_dev_ioctl_closemount
ioctl$AUTOFS_DEV_IOCTL_EXPIRE,autofs_dev_ioctl_expire
ioctl$AUTOFS_DEV_IOCTL_FAIL,autofs_dev_ioctl_fail
ioctl$AUTOFS_DEV_IOCTL_ISMOUNTPOINT,autofs_dev_ioctl_ismountpoint
ioctl$AUTOFS_DEV_IOCTL_OPENMOUNT,autofs_dev_ioctl_openmount
ioctl$AUTOFS_DEV_IOCTL_PROTOSUBVER,autofs_dev_ioctl_protosubver
ioctl$AUTOFS_DEV_IOCTL_PROTOVER,autofs_dev_ioctl_protover
ioctl$AUTOFS_DEV_IOCTL_READY,autofs_dev_ioctl_ready
ioctl$AUTOFS_DEV_IOCTL_REQUESTER,autofs_dev_ioctl_requester
ioctl$AUTOFS_DEV_IOCTL_SETPIPEFD,autofs_dev_ioctl_setpipefd
ioctl$AUTOFS_DEV_IOCTL_TIMEOUT,autofs_dev_ioctl_timeout
ioctl$AUTOFS_DEV_IOCTL_VERSION,autofs_dev_ioctl_version
ioctl$AUTOFS_IOC_ASKUMOUNT,autofs_ask_umount
ioctl$AUTOFS_IOC_CATATONIC,autofs_catatonic_mode
ioctl$AUTOFS_IOC_EXPIRE,autofs_expire_run
ioctl$AUTOFS_IOC_EXPIRE_MULTI,autofs_expire_multi
ioctl$AUTOFS_IOC_FAIL,autofs_wait_release
ioctl$AUTOFS_IOC_PROTOSUBVER,autofs_get_protosubver
ioctl$AUTOFS_IOC_PROTOVER,autofs_get_protover
ioctl$AUTOFS_IOC_READY,autofs_wait_release
ioctl$AUTOFS_IOC_SETTIMEOUT,autofs_get_set_timeout
ioctl$BINDER_CTL_ADD,binderfs_binder_device_create
ioctl$BINDER_ENABLE_ONEWAY_SPAM_DETECTION,binder_ioctl
ioctl$BINDER_FREEZE,binder_ioctl_freeze
ioctl$BINDER_GET_EXTENDED_ERROR,None
ioctl$BINDER_GET_FROZEN_INFO,binder_ioctl_get_freezer_info
ioctl$BINDER_GET_NODE_DEBUG_INFO,binder_ioctl_get_node_debug_info
ioctl$BINDER_GET_NODE_INFO_FOR_REF,binder_ioctl_get_node_info_for_ref
ioctl$BINDER_SET_CONTEXT_MGR,binder_ioctl_set_ctx_mgr
ioctl$BINDER_SET_CONTEXT_MGR_EXT,binder_ioctl_set_ctx_mgr
ioctl$BINDER_SET_MAX_THREADS,binder_ioctl
ioctl$BINDER_THREAD_EXIT,binder_thread_release
ioctl$BINDER_WRITE_READ,binder_ioctl_write_read
ioctl$BLKALIGNOFF,bdev_alignment_offset
ioctl$BLKBSZGET,block_size
ioctl$BLKBSZSET,blkdev_bszset
ioctl$BLKDISCARD,blk_ioctl_discard
ioctl$BLKFLSBUF,blkdev_flushbuf
ioctl$BLKFRASET,blkdev_common_ioctl
ioctl$BLKGETSIZE,blkdev_ioctl
ioctl$BLKGETSIZE64,blkdev_ioctl
